   102526	2020-10-12 06:22:53	1	1	15	0
    10456	2020-10-12 06:25:55	1	0	15	0
   101437	2020-10-12 06:37:37	1	0	15	0
   108469	2020-10-12 06:55:23	1	0	15	0
   108469	2020-10-12 06:55:25	1	0	15	0
    10278	2020-10-12 07:00:26	1	0	15	0
    10278	2020-10-12 07:00:28	1	0	15	0
   108556	2020-10-12 07:00:53	1	0	15	0
   108598	2020-10-12 07:01:49	1	0	15	0
   102542	2020-10-12 07:02:09	1	0	15	0
    10372	2020-10-12 07:07:42	1	0	15	0
    10372	2020-10-12 07:07:44	1	0	15	0
    10080	2020-10-12 07:08:11	1	0	15	0
   108570	2020-10-12 07:08:36	1	0	15	0
    10065	2020-10-12 07:11:58	1	0	15	0
   108650	2020-10-12 07:22:42	1	0	15	0
   108657	2020-10-12 07:22:54	1	0	15	0
   101451	2020-10-12 07:23:32	1	0	15	0
   108662	2020-10-12 07:23:54	1	0	15	0
   108654	2020-10-12 07:24:36	1	0	15	0
    10309	2020-10-12 07:29:16	1	0	15	0
    10309	2020-10-12 07:29:19	1	0	15	0
   108568	2020-10-12 07:29:48	1	0	15	0
    10033	2020-10-12 07:31:20	1	0	15	0
   108630	2020-10-12 07:31:37	1	0	15	0
   108593	2020-10-12 07:32:47	1	0	15	0
    10025	2020-10-12 07:35:08	1	0	15	0
   108489	2020-10-12 07:39:03	1	0	15	0
   108554	2020-10-12 07:41:55	1	0	15	0
   108661	2020-10-12 07:44:46	1	0	15	0
   108629	2020-10-12 07:45:51	1	0	15	0
    10221	2020-10-12 07:47:31	1	0	15	0
   108638	2020-10-12 07:47:49	1	0	15	0
   108658	2020-10-12 07:48:06	1	0	15	0
   108523	2020-10-12 07:49:27	1	0	15	0
   101432	2020-10-12 07:50:30	1	0	15	0
    10032	2020-10-12 07:50:45	1	0	15	0
   108619	2020-10-12 07:56:19	1	0	15	0
   500001	2020-10-12 08:01:11	1	0	15	0
    10063	2020-10-12 08:03:11	1	0	15	0
   108610	2020-10-12 08:03:21	1	0	15	0
    10149	2020-10-12 08:03:31	1	0	15	0
    10149	2020-10-12 08:03:33	1	0	15	0
    10076	2020-10-12 08:03:39	1	0	15	0
   108663	2020-10-12 08:05:07	1	0	15	0
    19980	2020-10-12 08:06:06	1	0	15	0
   108591	2020-10-12 08:06:54	1	0	15	0
   108608	2020-10-12 08:07:08	1	0	15	0
   108505	2020-10-12 08:07:32	1	0	15	0
    10138	2020-10-12 08:09:35	1	0	15	0
    10458	2020-10-12 08:09:54	1	0	15	0
   108611	2020-10-12 08:12:21	1	0	15	0
   108549	2020-10-12 08:20:55	1	0	15	0
